sampleid,date,site,year,period,treatment,rep,chl,tss,tp,tn,srp,surf_do,secchi,pH,discharge,ug_total,miv_abund,miv_hbi,zp_eH,ug_Bos,ug_Chyd,ug_Cerio,ug_Daphnia,ug_Diaph,ug_Cyclo,ug_Cala,ug_Naup
F1520063,7/16/2015,6,2015,2,down,3,59.18224423,9.6,NA,NA,NA,NA,NA,NA,2430,6.591549296,11,5.6363636,4.438495256,1.352112676,3.042253521,0,0,0.169014085,0.169014085,1.014084507,0.845070423
F1530011,8/24/2015,1,2015,3,prevd,1,78.40953858,19.2,81.5615,1.21885,12.83494746,9.875,0.5,9.875,1800,19.28911344,6,5.666666667,5.709138315,3.74441021,0.487854901,0,0,1.098541367,8.507910881,3.94087937,1.509516713
F1530012,8/24/2015,1,2015,3,prevd,2,98.34104216,20.8,NA,NA,NA,NA,NA,NA,1800,27.33674997,8,6,4.835692654,4.347823771,0.096422407,0.102988991,0,0.455966381,14.87814479,5.916371731,1.539031902
F1530013,8/24/2015,1,2015,3,prevd,3,79.71024503,20,NA,NA,NA,NA,NA,NA,1800,58.29335054,10,7.5,4.879001318,3.988736453,0,2.840141681,0.198747946,0.758928472,43.35998736,4.885488751,2.261319879
F1530021,8/24/2015,2,2015,3,prevd,1,65.9914288,19.2,67.179,1.31055,1.604368433,10.14,0.3,8.84,1800,7.887323944,4,6.5,4.36811349,2.253521127,1.464788732,0.112676056,0,0.450704225,3.323943662,0.225352113,0.056338028
F1530022,8/24/2015,2,2015,3,prevd,2,75.57420684,26.4,NA,NA,NA,NA,NA,NA,1800,27.21126761,23,6.562174,4.581886895,7.605633803,2.535211268,0.169014085,0.338028169,0.676056338,12,1.690140845,2.197183099
F1530023,8/24/2015,2,2015,3,prevd,3,80.32193477,24,NA,NA,NA,NA,NA,NA,1800,10.14084507,8,6.25,4.461460002,1.577464789,1.408450704,0.056338028,0.112676056,0.507042254,5.690140845,0.394366197,0.394366197
F1530031,8/24/2015,3,2015,3,prevd,1,94.52150994,20.8,43.4615,1.1956,11.23057903,10.695,0.3,8.81,1800,36.37941839,9,5,4.779280231,5.228987738,0.85940167,0,0.12800987,0.632384678,22.13233404,4.894161453,2.504138943
F1530032,8/24/2015,3,2015,3,prevd,2,80.31814956,32,NA,NA,NA,NA,NA,NA,1800,10.79621954,6,5.5,4.96767218,0.716446145,0.063004379,0.127686544,0.077556178,0.202032009,9.374453845,0.201002074,0.034038367
F1530033,8/24/2015,3,2015,3,prevd,3,93.19984407,28,NA,NA,NA,NA,NA,NA,1800,9.729368511,9,5.888888889,4.097889748,0.974309817,0.067957467,0.148215354,0,0.233172453,7.953017988,0.162099533,0.190595898
F1530041,8/24/2015,4,2015,3,prevd,1,43.36449324,39.2,92.145,1.3378,6.417473731,11.525,0.3,8.85,1800,8,15,6.7333333,5.784047001,2.14084507,0.450704225,0.901408451,0.112676056,0.788732394,2.366197183,0,1.23943662
F1530042,8/24/2015,4,2015,3,prevd,2,43.36449324,34.4,NA,NA,NA,NA,NA,NA,1800,5.070422535,7,6.1428571,4.741205956,1.352112676,0,0.225352113,0.112676056,0.338028169,1.352112676,0.112676056,1.577464789
F1530043,8/24/2015,4,2015,3,prevd,3,49.72371042,28,NA,NA,NA,NA,NA,NA,1800,7.661971831,59,6.745627,6.373174202,2.591549296,0.338028169,1.014084507,0.338028169,0.788732394,1.464788733,0,1.126760563
F1530051,8/24/2015,5,2015,3,dred,1,88.47149085,29.6,124.76,1.1561,8.021842163,9.77,0.3,8.52,1800,49.5367117,2,6,4.514734185,4.592191629,0.276787333,0.245867024,0,2.379958005,19.92509076,20.25795739,1.858859552
F1530052,8/24/2015,5,2015,3,dred,2,96.91729992,30.4,NA,NA,NA,NA,NA,NA,1800,52.55544765,7,6.428571429,4.482155206,9.637763873,0.315418344,0.658241342,0,3.624113648,29.19069884,7.802767664,1.326443933
F1530053,8/24/2015,5,2015,3,dred,3,103.5873047,28,NA,NA,NA,NA,NA,NA,1800,60.09561544,5,5,2.980830611,13.11771522,0.135062721,0.599234653,0,2.485048213,27.66837095,15.47291197,0.617271708
F1530061,8/24/2015,6,2015,3,down,1,65.71204932,29.6,142.71,1.1682,16.04368433,8.12,0.5,8.8,1800,157.5211268,15,4.533333,4.680683401,60.16901408,4.056338028,0.676056338,0.676056338,8.788732394,62.87323943,19.6056338,0.676056338
F1530062,8/24/2015,6,2015,3,down,2,100.2067128,24,NA,NA,NA,NA,NA,NA,1800,160.2253521,64,4.296875,5.688035858,48,6.76056338,2.704225352,0.676056338,33.12676056,41.91549296,22.30985915,4.732394366
F1530063,8/24/2015,6,2015,3,down,3,84.8664646,26.4,NA,NA,NA,NA,NA,NA,1800,149.4084507,27,4.2962963,5.324971282,65.57746479,4.056338028,1.352112676,2.704225352,11.49295775,41.23943662,21.63380282,1.352112676
F1610011,6/2/2016,1,2016,1,prevd,1,6.259159551,7.2,36.184,1.40885,20.85678962,7.41,1.1,7.95,3780,0.701295409,20,6.1,2.176656386,0.441773062,0.053586518,0,0,0,0.205935829,0,0
F1610012,6/2/2016,1,2016,1,prevd,2,5.884811102,14.4,NA,NA,NA,NA,NA,NA,3780,0.433306091,17,6.294117647,2.930401147,0.255044562,0.016049258,0,0,0,0.162212271,0,0
F1610013,6/2/2016,1,2016,1,prevd,3,6.474650933,5.6,NA,NA,NA,NA,NA,NA,3780,0.342568875,33,5.333333333,3.06100513,0.238651075,0.029512639,0,0,0,0.07440516,0,0
F1610021,6/2/2016,2,2016,1,prevd,1,13.54115372,5.6,46.408,1.3548,22.46115806,8.615,1,8.08,3780,0.369496019,8,6,4.113093674,0.118352636,0.007914122,0,0,0.052889766,0.039410761,0.144754726,0.006174007
F1610022,6/2/2016,2,2016,1,prevd,2,13.30434385,9.6,NA,NA,NA,NA,NA,NA,3780,0.388960613,16,5.25,3.914624357,0.138541167,0.061568712,0,0,0.110371122,0.078479611,0,0
F1610023,6/2/2016,2,2016,1,prevd,3,11.9512513,8.8,NA,NA,NA,NA,NA,NA,3780,0.269452154,41,5.0487805,2.811450521,0.132855627,0.080575321,0,0,0,0.056021206,0,0
F1610031,6/2/2016,3,2016,1,prevd,1,7.449014762,8.8,55.926,1.3853,16.04368433,7.61,1,8.12,3780,4.190260725,27,5,6.842321049,0.254619062,0.094433642,0.06901399,0,0.681814318,0.531516944,2.444699151,0.114163619
F1610032,6/2/2016,3,2016,1,prevd,2,7.661980023,4,NA,NA,NA,NA,NA,NA,3780,0.564369752,13,5,3.053740019,0.390946526,0.0409615,0,0,0,0.088081953,0,0.044379773
F1610033,6/2/2016,3,2016,1,prevd,3,8.13019482,5.6,NA,NA,NA,NA,NA,NA,3780,0.374069549,13,5.538461538,1.421414426,0.327659606,0,0.011004034,0,0,0.035405909,0,0
F1610041,6/2/2016,4,2016,1,prevd,1,32.24812774,5.6,59.897,1.49895,16.04368433,8.58,0.7,7.96,3780,2.445495474,7,6.5714286,1.422584829,1.918437954,0,0.01935966,0,0,0.169070732,0.338627128,0
F1610042,6/2/2016,4,2016,1,prevd,2,30.43847278,4.8,NA,NA,NA,NA,NA,NA,3780,1.656972623,18,5.9444444,1.653486081,1.398970333,0,0.038109223,0,0.076512564,0.123788103,0,0.0195924
F1610043,6/2/2016,4,2016,1,prevd,3,28.23173702,4.8,NA,NA,NA,NA,NA,NA,3780,1.72651339,17,6.35294112,1.538153524,1.59793934,0.043690971,0.013096818,0,0.049871982,0.02191428,0,0
F1610051,6/2/2016,5,2016,1,dred,1,15.91798648,11.2,48.52281904,1.67195,12.83494746,7.645,1,8.03,3780,8.81171994,8,6.375,1.614606774,6.033687257,0.091729633,0.021005644,0,0,2.613305017,0,0.05199239
F1610052,6/2/2016,5,2016,1,dred,2,13.68747096,14.4,NA,NA,NA,NA,NA,NA,3780,6.196194269,8,5.875,1.414174869,5.827066451,0.064754578,0.072817914,0,0,0.204707275,0,0.026848051
F1610053,6/2/2016,5,2016,1,dred,3,13.8200187,12.8,NA,NA,NA,NA,NA,NA,3780,6.265753667,9,5.777777778,1.366089463,5.771091013,0,0,0,0,0.439278075,0,0.055384579
F1610061,6/2/2016,6,2016,1,dred,1,17.68671738,10.4,50.281,1.65145,22.46115806,8.045,0.9,7.96,3780,1.055334261,6,5.833333,1.838480899,0.820966317,0.070418942,0,0,0,0,0.145314596,0.018634406
F1610062,6/2/2016,6,2016,1,dred,2,15.86557001,9.6,NA,NA,NA,NA,NA,NA,3780,0.966731737,13,4.6153846,2.935823421,0.45987257,0.052142066,0,0.04637447,0,0.121057067,0.226969428,0.060316136
F1610063,6/2/2016,6,2016,1,dred,3,16.01220426,12,NA,NA,NA,NA,NA,NA,3780,1.541648226,28,6.25,2.926420352,0.99918317,0.125794296,0.008235088,0.05825159,0,0.324827115,0,0.025356966
F1620011,7/29/2016,1,2016,2,prevd,1,26.71381185,8,75.66270087,1.08945,36.90047395,6.95,0.7,8.33,3380,2.104656921,13,5,3.886898473,0.267578938,0,0.038299566,0,1.520904394,0.219596756,0,0.058277267
F1620012,7/29/2016,1,2016,2,prevd,2,24.83867462,22.4,NA,NA,NA,NA,NA,NA,3380,1.060036059,12,5,3.946249092,0.038917842,0,0,0.03624157,0.361371337,0.583044699,0,0.040460611
F1620013,7/29/2016,1,2016,2,prevd,3,28.03822474,13.6,NA,NA,NA,NA,NA,NA,3380,1.617392623,9,5.111111111,4.804412603,0.20063964,0.017014556,0.009902073,0,0.562564081,0.496570588,0.314763345,0.015938339
F1620021,7/29/2016,2,2016,2,prevd,1,30.51135481,12,83.8125,0.997225,40.10921082,8.49,0.7,8.5,3380,0.996536638,18,5.5,6.295468171,0.116045407,0.084391527,0.052070843,0,0.190836139,0.463655109,0.034835127,0.054702489
F1620022,7/29/2016,2,2016,2,prevd,2,27.11511973,11.2,NA,NA,NA,NA,NA,NA,3380,0.868663718,19,6.1052632,1.60509442,0.166104669,0.032201094,0.024097004,0,0.182412456,0.433060146,0,0.030788348
F1620023,7/29/2016,2,2016,2,prevd,3,26.1086078,10.4,NA,NA,NA,NA,NA,NA,3380,0.858858227,76,5.7894737,5.55682105,0.150940312,0.101176076,0.031707171,0,0.142817757,0.411213207,0,0.021003704
F1620031,7/29/2016,3,2016,2,prevd,1,28.68398462,7.2,83.88690749,1.06325,40.10921082,7.36,0.6,8.41,3380,1.522825935,28,5,3.666985714,0.887459837,0.061625529,0.074014464,0.036154239,0.316083178,0.147488689,0,0
F1620032,7/29/2016,3,2016,2,prevd,2,29.54399098,8,NA,NA,NA,NA,NA,NA,3380,1.644780967,28,5.107142857,3.496540448,0.933640975,0.031424986,0.059338945,0,0.410299872,0.197601589,0,0.0124746
F1620033,7/29/2016,3,2016,2,prevd,3,28.14430125,5.6,NA,NA,NA,NA,NA,NA,3380,1.009713837,20,5.3,3.906294002,0.348162819,0.052323808,0.019026275,0,0.343898072,0.246302864,0,0
F1620041,7/29/2016,4,2016,2,prevd,1,37.69656378,13.6,79.635,1.2562,35.29610552,7.84,0.7,8.49,3380,2.921374853,131,6.3206107,4.691367551,0.62495895,0.067447498,0.108927631,0.031890564,1.347105409,0.719382455,0,0.021662346
F1620042,7/29/2016,4,2016,2,prevd,2,42.11156775,13.6,NA,NA,NA,NA,NA,NA,3380,3.257513918,57,5.2280702,3.787162857,1.417449546,0.104958602,0.107072521,0,0.991129274,0.624538452,0,0.012365524
F1620043,7/29/2016,4,2016,2,prevd,3,39.27040308,14.4,NA,NA,NA,NA,NA,NA,3380,2.53245465,20,6.1,3.540096486,1.374203001,0.091389382,0.086801854,0.049669435,0.557048163,0.337796019,0,0.035546796
F1620051,7/29/2016,5,2016,2,dred,1,34.21128003,20.8,101.1577414,1.14535,35.29610552,6.88,0.5,8.38,3380,8.810505053,7,6.285714286,3.436646346,0.542839941,0.031660297,0.256854835,0,6.072246166,1.861528411,0,0.045375404
F1620052,7/29/2016,5,2016,2,dred,2,33.98048528,22.4,NA,NA,NA,NA,NA,NA,3380,5.384805735,19,5.736842105,4.296213735,0.591894576,0,0.11826057,0,2.472721446,2.201929143,0,0
F1620053,7/29/2016,5,2016,2,dred,3,32.64690772,20,NA,NA,NA,NA,NA,NA,3380,5.33392854,21,5.761904762,4.115885594,0.184750943,0.034739292,0.186243062,0,2.939436445,1.738084912,0.232923267,0.017750618
F1620061,7/29/2016,6,2016,2,dred,1,29.36951843,15.2,103.5735,1.32715,41.71357925,7,0.6,8.36,3380,1.175940538,5,5.8,4.134222041,0.332885601,0.049472587,0.004928833,0.02121819,0.094221449,0.647201968,0,0.026011911
F1620062,7/29/2016,6,2016,2,dred,2,34.22136409,17.6,NA,NA,NA,NA,NA,NA,3380,0.8017022,16,4.625,6.317840751,0.13061469,0.070991318,0.03517444,0.03163819,0.117440565,0.350923218,0.045018617,0.019901161
F1620063,7/29/2016,6,2016,2,dred,3,32.71298701,16.8,NA,NA,NA,NA,NA,NA,3380,0.871022001,10,6.5,4.999322071,0.212751264,0.03644948,0.00964949,0.036620338,0.274922556,0.261994502,0,0.038634372
F1630011,8/24/2016,1,2016,3,prevd,1,48.99804853,12,66.6160736,1.5278,48.13105298,8.145,0.75,8.54,2480,5.656420476,9,5.333333333,4.360408893,0.33726174,0.031194547,0.027515886,0,1.123023255,3.377420442,0.528890094,0.231114512
F1630012,8/24/2016,1,2016,3,prevd,2,56.37401512,12.8,NA,NA,NA,NA,NA,NA,2480,5.131986227,6,6,2.970602548,0.255861886,0,0.098125736,0,0.535982004,3.348301542,0.857978286,0.035736774
F1630013,8/24/2016,1,2016,3,prevd,3,45.26407717,12,NA,NA,NA,NA,NA,NA,2480,6.47083828,25,5.44,3.326578973,0.380248253,0.026965797,0.216440189,0,0.298220963,3.843431077,1.426632125,0.278899877
F1630021,8/24/2016,2,2016,3,prevd,1,53.18359029,20,81.8585,1.4308,16.04368433,9.955,0.5,8.68,2480,2.174959953,3,6.6666667,2.772925037,0.115281311,0.050316613,0.005232505,0,0.033898804,1.387620758,0.562158741,0.020451222
F1630022,8/24/2016,2,2016,3,prevd,2,51.94216786,17.6,NA,NA,NA,NA,NA,NA,2480,2.846688945,9,6.7777778,3.203138328,0.091405049,0.060473178,0.016036581,0.005229112,0.026841947,1.403176129,1.216541775,0.026985175
F1630023,8/24/2016,2,2016,3,prevd,3,50.80398648,19.2,NA,NA,NA,NA,NA,NA,2480,3.390276764,44,4.3181818,3.488872987,0.080817659,0.040660782,0.021053554,0.005673092,0.059891752,1.510825467,1.596124922,0.075229537
F1630031,8/24/2016,3,2016,3,prevd,1,47.49016547,19.2,44.41071573,1.42495,35.29610552,8.685,0.6,8.59,2480,8.354776499,14,5.5,3.506816529,0.480025394,0,0.049515442,0.038047588,0.40709257,4.775868167,2.413957257,0.19027008
F1630032,8/24/2016,3,2016,3,prevd,2,46.49228481,18.4,NA,NA,NA,NA,NA,NA,2480,5.501738875,17,5,2.563590332,0.280342744,0.030634788,0.015491361,0.039267976,0,4.582547485,0.388455665,0.164998857
F1630033,8/24/2016,3,2016,3,prevd,3,50.0266428,12.8,NA,NA,NA,NA,NA,NA,2480,5.348279401,13,6,2.362070417,0.117254517,0,0.072674254,0.182038379,0.429594006,4.356464081,0,0.190254165
F1630041,8/24/2016,4,2016,3,prevd,1,52.27904137,17.6,72.1995,1.2964,33.69173709,8.715,0.5,8.63,2480,2.656965538,17,6.9411765,2.456879452,0.080044136,0.122207046,0.008547357,0.012752506,0,1.996933333,0.392572995,0.043908165
F1630042,8/24/2016,4,2016,3,prevd,2,52.32471917,16.8,NA,NA,NA,NA,NA,NA,2480,1.92861479,16,6.8125,2.741898752,0.013559917,0.050933996,0,0.040550091,0.028977664,1.273159899,0.496962618,0.024470606
F1630043,8/24/2016,4,2016,3,prevd,3,47.58104853,17.6,NA,NA,NA,NA,NA,NA,2480,2.715058491,22,6.4090909,2.935339329,0.084152905,0.084672103,0.006686191,0.013622442,0.053697652,1.93082427,0.424573701,0.116829227
F1630051,8/24/2016,5,2016,3,dred,1,51.75531344,16.8,49.3452397,1.3896,11.23057903,8.735,0.6,8.57,2480,5.587740227,9,6.222222222,4.905541566,0.642280101,0.049860476,0.070968314,0.035578385,0.707338206,3.232711219,0.558432171,0.290571354
F1630052,8/24/2016,5,2016,3,dred,2,63.62781464,46.4,NA,NA,NA,NA,NA,NA,2480,7.011094993,30,5.833333333,6.601695278,1.036027355,0.012878772,0.330574193,0.202305588,0.866048017,2.584577552,1.62079858,0.357884937
F1630053,8/24/2016,5,2016,3,dred,3,59.61612729,16.8,NA,NA,NA,NA,NA,NA,2480,3.530744873,22,6,5.693612408,0.122259195,0.034758124,0.202142223,0.037078121,0.503963507,1.363882715,1.205089095,0.061571892
F1630061,8/24/2016,6,2016,3,dred,1,47.33789101,17.6,75.017,1.5043,19.25242119,8.45,0.5,8.55,2480,10.74712196,9,7.1111111,5.663797547,2.724137273,0.303163905,0.128334872,0.051923919,0.97685573,2.427147627,3.741657894,0.393900742
F1630062,8/24/2016,6,2016,3,dred,2,34.41060939,16,NA,NA,NA,NA,NA,NA,2480,6.303954224,27,5.4814815,5.342641812,1.208084931,0.109014901,0.218934352,0.028640765,0.495851183,2.496150897,1.364893545,0.382383649
F1630063,8/24/2016,6,2016,3,dred,3,44.44458552,16.8,NA,NA,NA,NA,NA,NA,2480,15.08009252,62,4.6451613,6.655529993,1.242906571,0.28838255,0.208192217,0.083104211,0.521833703,3.342677253,9.165311923,0.227684096
